name	term	lev	seq	value
"small ribosomal subunit"	GO:0015935	4	isogroup216490	0
"small ribosomal subunit"	GO:0015935	4	isogroup247798	0
"small ribosomal subunit"	GO:0015935	4	isogroup209007	0
"small ribosomal subunit"	GO:0015935	4	isogroup221983	0
"small ribosomal subunit"	GO:0015935	4	isogroup259132	0
"small ribosomal subunit"	GO:0015935	4	isogroup221785	0
"small ribosomal subunit"	GO:0015935	4	isogroup205085	0
"small ribosomal subunit"	GO:0015935	4	isogroup193216	0
"small ribosomal subunit"	GO:0015935	4	isogroup222014	0
"small ribosomal subunit"	GO:0015935	4	isogroup260888	0
"small ribosomal subunit"	GO:0015935	4	isogroup233280	0
"small ribosomal subunit"	GO:0015935	4	isogroup44628	0
"small ribosomal subunit"	GO:0015935	4	isogroup260035	0
"small ribosomal subunit"	GO:0015935	4	isogroup249421	0
"small ribosomal subunit"	GO:0015935	4	isogroup252475	0
"small ribosomal subunit"	GO:0015935	4	isogroup226686	0
"small ribosomal subunit"	GO:0015935	4	isogroup258608	0
"small ribosomal subunit"	GO:0015935	4	isogroup222200	0
"small ribosomal subunit"	GO:0015935	4	isogroup221929	0
"small ribosomal subunit"	GO:0015935	4	isogroup260532	0
"whole membrane"	GO:0098805	2	isogroup260743	0
"whole membrane"	GO:0098805	2	isogroup253869	0
"whole membrane"	GO:0098805	2	isogroup263690	0
"whole membrane"	GO:0098805	2	isogroup248571	0
"whole membrane"	GO:0098805	2	isogroup231641	0.468780068918589
"whole membrane"	GO:0098805	2	isogroup246178	0
"whole membrane"	GO:0098805	2	isogroup260536	0
"whole membrane"	GO:0098805	2	isogroup248761	0
"whole membrane"	GO:0098805	2	isogroup255371	0
"whole membrane"	GO:0098805	2	isogroup258696	0
"whole membrane"	GO:0098805	2	isogroup251650	0
"whole membrane"	GO:0098805	2	isogroup252894	0.23483520827064
"whole membrane"	GO:0098805	2	isogroup263762	0
"whole membrane"	GO:0098805	2	isogroup263763	0.431728223922659
"whole membrane"	GO:0098805	2	isogroup251211	0
"whole membrane"	GO:0098805	2	isogroup249556	0
"whole membrane"	GO:0098805	2	isogroup261407	0
"whole membrane"	GO:0098805	2	isogroup261818	0
"whole membrane"	GO:0098805	2	isogroup258993	0
"whole membrane"	GO:0098805	2	isogroup258122	0
"whole membrane"	GO:0098805	2	isogroup251990	0
"whole membrane"	GO:0098805	2	isogroup254834	0
"whole membrane"	GO:0098805	2	isogroup234154	0
"whole membrane"	GO:0098805	2	isogroup262987	0.462681203957784
"whole membrane"	GO:0098805	2	isogroup263491	0
"whole membrane"	GO:0098805	2	isogroup244614	0.337941421802224
"whole membrane"	GO:0098805	2	isogroup243934	0
"whole membrane"	GO:0098805	2	isogroup263031	0
"whole membrane"	GO:0098805	2	isogroup231367	0
"whole membrane"	GO:0098805	2	isogroup260669	0
"whole membrane"	GO:0098805	2	isogroup214956	0.429690510858349
"whole membrane"	GO:0098805	2	isogroup262592	0
"whole membrane"	GO:0098805	2	isogroup262710	0
"whole membrane"	GO:0098805	2	isogroup230853	0.47138140561262
"whole membrane"	GO:0098805	2	isogroup248611	0
"whole membrane"	GO:0098805	2	isogroup257760	0
"whole membrane"	GO:0098805	2	isogroup235298	0
"whole membrane"	GO:0098805	2	isogroup242322	0
"whole membrane"	GO:0098805	2	isogroup257727	0.059083636675159
"whole membrane"	GO:0098805	2	isogroup249332	0
"whole membrane"	GO:0098805	2	isogroup239534	0
"whole membrane"	GO:0098805	2	isogroup260462	0
"whole membrane"	GO:0098805	2	isogroup242407	0
"whole membrane"	GO:0098805	2	isogroup252606	0.479630247564091
"whole membrane"	GO:0098805	2	isogroup249318	0
"whole membrane"	GO:0098805	2	isogroup228507	0
"whole membrane"	GO:0098805	2	isogroup159809	0
"whole membrane"	GO:0098805	2	isogroup247614	0
"whole membrane"	GO:0098805	2	isogroup255509	0
"whole membrane"	GO:0098805	2	isogroup263260	0
"whole membrane"	GO:0098805	2	isogroup248708	0
"whole membrane"	GO:0098805	2	isogroup262622	0
"whole membrane"	GO:0098805	2	isogroup260715	0
"whole membrane"	GO:0098805	2	isogroup247711	0.305201053132609
"whole membrane"	GO:0098805	2	isogroup243972	0
"whole membrane"	GO:0098805	2	isogroup259700	0
"whole membrane"	GO:0098805	2	isogroup258464	0
"whole membrane"	GO:0098805	2	isogroup248019	0
"whole membrane"	GO:0098805	2	isogroup254581	0
"whole membrane"	GO:0098805	2	isogroup263036	0
"whole membrane"	GO:0098805	2	isogroup261315	0
"whole membrane"	GO:0098805	2	isogroup255222	0
"whole membrane"	GO:0098805	2	isogroup247876	0
"whole membrane"	GO:0098805	2	isogroup245402	0
"whole membrane"	GO:0098805	2	isogroup242127	0
"whole membrane"	GO:0098805	2	isogroup251178	0
"whole membrane"	GO:0098805	2	isogroup236734	0
"whole membrane"	GO:0098805	2	isogroup261446	0
"whole membrane"	GO:0098805	2	isogroup262369	0.491932349808634
"whole membrane"	GO:0098805	2	isogroup244837	0
"whole membrane"	GO:0098805	2	isogroup258436	0
"whole membrane"	GO:0098805	2	isogroup249820	0
"whole membrane"	GO:0098805	2	isogroup260355	0
"whole membrane"	GO:0098805	2	isogroup250966	0
"whole membrane"	GO:0098805	2	isogroup259750	0
"whole membrane"	GO:0098805	2	isogroup251964	0
"whole membrane"	GO:0098805	2	isogroup263051	0
"whole membrane"	GO:0098805	2	isogroup260713	0
"whole membrane"	GO:0098805	2	isogroup260838	0.464908589320306
"whole membrane"	GO:0098805	2	isogroup245556	0
"whole membrane"	GO:0098805	2	isogroup256711	0
"whole membrane"	GO:0098805	2	isogroup234991	0
"whole membrane"	GO:0098805	2	isogroup236267	0.146039711539436
"whole membrane"	GO:0098805	2	isogroup260344	0.512275212840598
"whole membrane"	GO:0098805	2	isogroup262548	0
"whole membrane"	GO:0098805	2	isogroup261813	0
"whole membrane"	GO:0098805	2	isogroup263688	0
"whole membrane"	GO:0098805	2	isogroup261514	0
"whole membrane"	GO:0098805	2	isogroup247466	0
"whole membrane"	GO:0098805	2	isogroup257687	0
